taxID	Taxa	COIII_08_S8	COIII_18_S18	COIII_28_S28	COIII_48_S48	COIII_58_S58	COIII_68_S68	COIII_78_S78	COIII_88_S88
1729940	Eimeria sp. isolate 34RUM cytochrome c oxidase III gene, partial cds; mitochondrial	0.0	1133.0	0.0	1.0	0.0	0.0	0.0	0.0
1729940	Eimeria sp. isolate 54STR cytochrome c oxidase III gene, partial cds; mitochondrial	0.0	5841.0	0.0	44.0	0.0	0.0	0.0	0.0
1729940	Eimeria sp. isolate 6HB1 cytochrome c oxidase III gene, partial cds; mitochondrial	0.0	324.0	0.0	0.0	0.0	0.0	0.0	0.0
1729940	Eimeria sp. isolate B4B2 cytochrome c oxidase III gene, partial cds; mitochondrial	0.0	35.0	0.0	22.0	0.0	0.0	0.0	0.0
1729940	Eimeria sp. isolate RL cytochrome c oxidase III gene, partial cds; mitochondrial	0.0	174.0	0.0	0.0	0.0	0.0	0.0	0.0
1793138	Isospora sp. JRB-2016 mitochondrion, complete genome	0.0	328.0	0.0	0.0	0.0	0.0	0.0	0.0
1910765	Eimeria sp. ex Microtus agrestis isolate 17MAG_FR cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	427.0	0.0	0.0	0.0	599.0	0.0	101.0
1910765	Eimeria sp. ex Microtus agrestis isolate 2MAG_LIT_CZ cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	500.0	0.0	0.0	0.0	307.0	0.0	43.0
1910765	Eimeria sp. ex Microtus agrestis isolate 46_15MAG_NL cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	258.0	0.0	0.0	0.0	213.0	0.0	20.0
1910765	Eimeria sp. ex Microtus agrestis isolate 93MAG_FR cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	163.0	0.0	0.0	0.0	1.0	0.0	1.0
1910766	Eimeria sp. ex Microtus arvalis isolate 6MA_CB_CZ cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0
1910766	Eimeria sp. ex Microtus arvalis isolate 80MA_AT cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	386.0	0.0	0.0	0.0	943.0	0.0	172.0
1910766	Eimeria sp. ex Microtus arvalis isolate 94MA_RS cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	809.0	0.0	0.0	0.0	1553.0	0.0	222.0
2518963	Eimeria sp. ex Microtus oeconomus isolate 79MO_KZ cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	484.0	0.0	0.0	0.0	501.0	0.0	61.0
2518964	Eimeria sp. ex Myodes glareolus isolate 141MG_LIT_CZ cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0
2518964	Eimeria sp. ex Myodes glareolus isolate 23669MG_SK cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	122.0	0.0	0.0	0.0	391.0	0.0	44.0
2518964	Eimeria sp. ex Myodes glareolus isolate 23801MG_SK cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2518964	Eimeria sp. ex Myodes glareolus isolate 239MG_SK cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	2.0	0.0	0.0	0.0	306.0	0.0	44.0
2518964	Eimeria sp. ex Myodes glareolus isolate 26_14MG_RU cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	63.0	0.0	0.0	0.0	330.0	0.0	62.0
2518964	Eimeria sp. ex Myodes glareolus isolate 3_3MG_LT cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	71.0	0.0	0.0	0.0	273.0	0.0	46.0
2518964	Eimeria sp. ex Myodes glareolus isolate 80MG_FR cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	1664.0	0.0	0.0	0.0	2070.0	0.0	296.0
2518964	Eimeria sp. ex Myodes glareolus isolate 82MG_LIT_CZ cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0
2518966	Isospora sp. ex Myodes glareolus isolate 50MG_PLE cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0
2528726	Isospora sp. ex Emberiza citrinella isolate EmbCi1_JT cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	1482.0	0.0	0.0	0.0	0.0	0.0	0.0
2528726	Isospora sp. ex Emberiza citrinella isolate EmbCi1_PT cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
2528728	Isospora sp. ex Parus major isolate ParMa11_PT cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2792286	Isospora lugensae isolate 20236 mitochondrion, complete genome	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
2827261	Eimeria chapmani isolate CMNPA 2021-0006 mitochondrion, complete genome	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
51314	Eimeria brunetti strain Roybru mitochondrion, complete genome	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0
51316	Eimeria praecox mitochondrion, complete genome	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
471278	Eimeria intestinalis mitochondrion, complete genome	0.0	0.0	10.0	3.0	6.0	0.0	0.0	0.0
1431345	Eimeria meleagridis mitochondrion, complete genome	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
1729940	Eimeria sp. isolate 19CR cytochrome c oxidase III gene, partial cds; mitochondrial	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1729940	Eimeria sp. strain OTU-Z1 mitochondrion, complete genome	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0
1729940	Eimeria sp. strain OTU-Z2 mitochondrion, complete genome	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0
5801	Eimeria acervulina mitochondrion, complete genome	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0
5801	Eimeria acervulina strain Newace mitochondrion, complete genome	0.0	0.0	0.0	101.0	5.0	0.0	0.0	0.0
5801	Eimeria acervulina strain Royace mitochondrion, complete genome	0.0	0.0	0.0	81.0	6.0	0.0	0.0	0.0
145388	Monoraphidium neglectum Histone H2A mRNA	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
1469500	Eimeria anseris mitochondrion, complete genome	0.0	0.0	0.0	211.0	6.0	0.0	0.0	0.0
1691399	Asulcocephalium miricentonis genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, strain: od12-21kt	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
2315456	Coccomyxa sp. Obi DNA, chromosome 2, complete sequence	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
44415	Eimeria mitis mitochondrion, complete genome	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
51314	Eimeria brunetti mitochondrion, complete genome	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1793134	Isospora superbusi strain MTZ2 mitochondrion, complete genome	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
2827260	Eimeria legionensis isolate JMR 2018_el mitochondrion, complete genome	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
1910766	Eimeria sp. ex Microtus arvalis isolate 84MA_AT cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	0.0	0.0	0.0	0.0	31.0	0.0	5.0
1910767	Eimeria sp. ex Microtus levis isolate 76ML_KZ cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	0.0	0.0	0.0	0.0	12.0	0.0	1.0
2518963	Eimeria sp. ex Microtus oeconomus isolate 3_1MO_LV cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	0.0	0.0	0.0	0.0	57.0	0.0	6.0
2518964	Eimeria sp. ex Myodes glareolus isolate 23776MG_SK cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2518964	Eimeria sp. ex Myodes glareolus isolate P181MG_LIT_CZ cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
88456	Cyclospora cayetanensis isolate MA_14_CL_3 mitochondrion, complete genome	0.0	0.0	0.0	0.0	0.0	0.0	916.0	0.0
88456	Cyclospora cayetanensis isolate ME_14_CL_24 mitochondrion, complete genome	0.0	0.0	0.0	0.0	0.0	0.0	942.0	0.0
88456	Cyclospora cayetanensis isolate TX_14_CL_22 mitochondrion, complete genome	0.0	0.0	0.0	0.0	0.0	0.0	873.0	0.0
88456	Cyclospora cayetanensis isolate TX_14_CL_23 mitochondrion, complete genome	0.0	0.0	0.0	0.0	0.0	0.0	972.0	0.0
88456	Cyclospora cayetanensis isolate TX_14_CL_6 mitochondrion, complete genome	0.0	0.0	0.0	0.0	0.0	0.0	917.0	0.0
2518964	Eimeria sp. ex Myodes glareolus isolate 112MG_LIT_CZ cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
